directorio,secuencia_p,orden,formal,estrato1,sex,age,fweight,maxeduclevel,y_salary_m_hu,y_total_m,p6585s1,p6585s2,p6585s3,p6585s4
4521269,1,2,1.0,3.0,0.0,32.0,255.0,7.0,16333.3330078125,3033333.25,0,0,0,0
4521270,1,1,0.0,2.0,0.0,59.0,246.0,4.0,4375.0,9e+05,0,0,0,0
4521271,1,2,1.0,3.0,1.0,56.0,214.0,6.0,3888.88891601562,1050000,0,1,0,0
4521272,1,1,1.0,3.0,0.0,57.0,197.0,6.0,7777.77783203125,1600000,0,1,0,0
4521272,1,3,1.0,3.0,0.0,23.0,197.0,7.0,5833.33349609375,1333140,0,1,0,0
4521275,1,1,0.0,3.0,0.0,31.0,190.0,6.0,2459.056640625,857193.4375,0,0,1,0
4521275,2,1,0.0,3.0,0.0,21.0,190.0,6.0,2459.056640625,737717,0,0,0,0
4521276,1,4,1.0,3.0,0.0,35.0,274.0,7.0,2868.8994140625,829217,0,0,1,0
4521278,1,1,1.0,2.0,1.0,37.0,293.0,7.0,12444.4443359375,3595500,1,0,1,0
4521278,1,2,0.0,2.0,0.0,40.0,293.0,7.0,11666.6669921875,1700000,0,0,0,0
4521279,1,1,0.0,2.0,1.0,35.0,134.0,6.0,2692.3076171875,812500,0,0,0,0
4521281,1,1,1.0,2.0,1.0,45.0,297.0,5.0,5833.33349609375,1200000,0,1,0,0
4521281,1,2,1.0,2.0,0.0,45.0,297.0,5.0,3888.88891601562,8e+05,0,1,0,0
4521281,1,4,0.0,2.0,1.0,19.0,297.0,7.0,3500.0,3e+05,0,0,0,0
4521283,1,3,1.0,4.0,0.0,40.0,210.0,7.0,4303.34912109375,820857,0,1,0,0
4521284,1,1,1.0,2.0,1.0,47.0,418.0,6.0,4131.9443359375,1023140,0,1,1,0
4521287,1,1,0.0,3.0,0.0,48.0,232.0,5.0,4375.0,750000,0,0,0,0
4521288,1,2,1.0,3.0,0.0,35.0,329.0,7.0,12152.77734375,2708333.25,0,0,0,0
4521289,1,2,1.0,2.0,1.0,38.0,259.0,6.0,5000.0,1450000,1,1,0,0
4521291,1,3,1.0,4.0,1.0,53.0,254.0,7.0,19833.333984375,3924166.75,0,0,0,0
4521292,1,7,1.0,4.0,0.0,58.0,189.0,3.0,3586.12426757812,737717,0,0,0,0
4521293,1,2,1.0,2.0,1.0,66.0,174.0,3.0,3500.0,803140,0,1,0,0
4521294,1,1,1.0,4.0,1.0,50.0,194.0,7.0,33939.39453125,8e+06,0,0,0,0
4521294,1,2,1.0,4.0,0.0,51.0,194.0,7.0,13125.0,2925000,0,0,0,0
4521297,1,1,0.0,3.0,1.0,62.0,225.0,6.0,518.518493652344,40000,0,0,0,0
4521297,1,2,0.0,3.0,0.0,57.0,225.0,5.0,1866.66662597656,144000,0,0,0,0
4521297,1,3,0.0,3.0,0.0,28.0,225.0,6.0,6416.66650390625,440000,0,0,0,0
4521298,1,3,1.0,3.0,0.0,32.0,382.0,7.0,14097.22265625,3216666.75,0,0,0,0
4521300,1,1,0.0,2.0,1.0,26.0,243.0,6.0,4320.98779296875,1e+06,0,0,0,0
4521300,1,2,1.0,2.0,0.0,36.0,243.0,4.0,3825.19921875,820857,0,1,0,0
